stop_name,latitude,longitude
STAZ.NE DUE PONTI,41.955566,12.484934
NAZIONALE/TORINO,41.901839,12.495106
TERME DIOCLEZIANO,41.901824,12.497094
LITORANEA/VARCO 4,41.660895,12.410597
LITORANEA/VARCO 5,41.658227,12.414752
TOMACELLI,41.904889,12.476098
GREGORIO VII/RANUCCI,41.896554,12.449890
LAGO MAGGIORE,41.648592,12.431085
PO/SESIA,41.658858,12.422409
PORTUENSE/CAMPI SPORTIVI,41.842037,12.385396
PORTUENSE/CAMPI SPORTIVI,41.841949,12.385695
P.ZA DELLA ROVERE,41.899494,12.461544
LGT GIANICOLENSE/REGINA COELI,41.896154,12.464809
LGT FARNESINA,41.894397,12.466913
LGT FARNESINA/TRILUSSA,41.892409,12.469451
GIANICOLENSE/CASALETTO,41.877512,12.441263
ARENULA/MIN. G. GIUSTIZIA,41.892244,12.474793
ISOLA FARNESE/VALLE BOSCO,42.018845,12.388823
ISOLA FARNESE/VALLE BOSCO,42.018849,12.388597
CERNAIA,41.904660,12.497762
PALESTRO,41.907987,12.500576
PORTA PIA,41.908654,12.502122
CROCE ROSSA,41.908041,12.504270
PADRE SEMERIA/VALIGNANO,41.865729,12.494658
RAVENNA/PIAZZA,41.912988,12.518919
LORENZO IL MAGNIFICO/STAMIRA,41.913141,12.521836
LORENZO IL MAGNIFICO/G.DA PROCIDA,41.911909,12.525493
LORENZO IL MAGNIFICO/TEODORICO,41.910937,12.528415
STAZ.NE TIBURTINA (MB),41.909798,12.529508
PADRE SEMERIA/COLOMBO,41.863514,12.496548
BOLOGNA (MB),41.914518,12.522191
RAVENNA/PIAZZA,41.913157,12.519212
CATANZARO,41.911874,12.517150
CHIANESI (H),41.802700,12.447827
POLICLINICO (H),41.909087,12.507396
C.SO FRANCIA/URUGUAY,41.935031,12.472060
CROCE ROSSA,41.908451,12.503191
PORTA PIA,41.909091,12.502018
XX SETTEMBRE/PIAVE,41.907033,12.498199
XX SETTEMBRE/MIN. FINANZE,41.905628,12.496188
TARANTELLI,41.818766,12.436373
C.SO FRANCIA/PONTE FLAMINIO,41.937970,12.471547
FIUME GIALLO/FIUME AZZURRO,41.812064,12.432307
C.SO FRANCIA/BODIO,41.944388,12.469523
VILLA SEVERINI,41.946650,12.469880
FIUME GIALLO/CIVICO 321,41.813247,12.433519
CASSIA/JACINI,41.948692,12.469775
CASSIA/FABBRONI,41.951261,12.467900
LGT VALLATI/PETTINARI,41.892383,12.471789
CASSIA/INVIOLATELLA BORGHESE,41.956834,12.460577
